,Date,SMPP,RMPP,column_2
0,2019-07-01,5.95,57.35,63.92
1,2019-09-01,5.95,56.95,62.83
2,2020-07-01,6.25,40.71,43.24
3,2021-01-01,6.25,52.0,54.77
4,2021-03-01,6.36,62.33,65.41
5,2021-08-01,6.91,67.73,70.75
6,2021-10-01,6.91,81.48,83.54
7,2021-12-01,7.66,71.71,74.17
8,2022-03-01,7.86,108.5,117.25
9,2022-08-01,8.26,93.67,100.45
10,2022-09-01,8.26,84.26,89.76
11,2022-10-01,8.26,87.55,93.33
12,2022-12-01,8.26,76.44,80.92
13,2023-01-01,8.26,78.12,82.5
14,2023-03-01,8.26,73.28,78.43
15,2023-05-01,8.26,71.58,75.47
16,2023-07-01,7.76,76.07,80.11
17,2023-09-01,7.76,89.43,93.72
18,2023-10-01,7.76,85.64,90.6
19,2024-04-01,6.96,85.35,89.94
20,2024-05-01,8.08063664796857,85.17913818359375,
21,2024-06-01,7.901289774213259,81.481689453125,
22,2024-07-01,7.942496864113748,82.33122253417969,
23,2024-08-01,8.176438413618133,87.15420532226562,
24,2024-09-01,8.114587441337681,85.87907409667969,
25,2024-10-01,7.88846950285787,81.2173843383789,
26,2024-11-01,7.593090347210605,75.12779235839844,
27,2024-12-01,7.566334048989724,74.57617950439453,
28,2025-01-01,7.621000147894172,75.70318603515625,
29,2025-02-01,7.775921782784533,78.89707946777344,
