Date;column_1;column_2
01/01/1960;11.42;
01/02/1960;11.42;
01/03/1960;11.42;
01/04/1960;11.42;
01/05/1960;11.42;
01/06/1960;11.42;
01/07/1960;11.42;
01/08/1960;11.42;
01/09/1960;11.42;
01/10/1960;11.42;
01/11/1960;11.42;
01/12/1960;11.42;
01/01/1961;11.02;
01/02/1961;11.02;
01/03/1961;11.02;
01/04/1961;11.02;
01/05/1961;11.02;
01/06/1961;11.02;
01/07/1961;11.02;
01/08/1961;11.02;
01/09/1961;11.02;
01/10/1961;11.02;
01/11/1961;11.02;
01/12/1961;11.02;
01/01/1962;11.01;
01/02/1962;11.01;
01/03/1962;11.01;
01/04/1962;11.01;
01/05/1962;11.01;
01/06/1962;11.01;
01/07/1962;11.01;
01/08/1962;11.01;
01/09/1962;11.01;
01/10/1962;11.01;
01/11/1962;11.01;
01/12/1962;11.01;
01/01/1963;11.02;
01/02/1963;11.02;
01/03/1963;11.02;
01/04/1963;11.02;
01/05/1963;11.02;
01/06/1963;11.02;
01/07/1963;11.02;
01/08/1963;11.02;
01/09/1963;11.02;
01/10/1963;11.02;
01/11/1963;11.02;
01/12/1963;11.02;
01/01/1964;10.24;
01/02/1964;10.24;
01/03/1964;10.24;
01/04/1964;10.24;
01/05/1964;10.24;
01/06/1964;10.24;
01/07/1964;10.24;
01/08/1964;10.24;
01/09/1964;10.24;
01/10/1964;10.24;
01/11/1964;10.24;
01/12/1964;10.24;
01/01/1965;10.24;
01/02/1965;10.24;
01/03/1965;10.24;
01/04/1965;10.24;
01/05/1965;15.3;
01/06/1965;10.24;
01/07/1965;10.24;
01/08/1965;10.24;
01/09/1965;10.24;
01/10/1965;10.24;
01/11/1965;10.24;
01/12/1965;10.24;
01/01/1966;9.52;
01/02/1966;9.52;
01/03/1966;9.52;
01/04/1966;9.52;
01/05/1966;9.52;
01/06/1966;9.52;
01/07/1966;9.52;
01/08/1966;9.52;
01/09/1966;9.52;
01/10/1966;9.52;
01/11/1966;9.52;
